BK	NBR	ANS	QUESTION	CHOICE  A	CHOICE  B	CHOICE  C	CHOICE  D	ILLUSTRATION
1	4445	C	BOTH INTERNATIONAL & INLAND Which vessel must show a towing light above the stern light?	A vessel pushing three barges ahead	A vessel towing alongside	A vessel with a 150-meter tow astern	None of the above	
1	4446	D	BOTH INTERNATIONAL & INLAND Which is NOT a distress signal?	A continuous sounding with any fog signal apparatus	"A signal sent by radiotelephone consisting of the spoken word ""Mayday"""	An International Code Signal of N.C.	The firing of green star rockets or shells	
1	4447	B	"BOTH INTERNATIONAL & INLAND A rigid replica of the  International Code flag ""A"" may be shown by a vessel __________."	pulling a submarine cable	engaged in diving operations	engaged in underway replenishment	transferring explosives	
1	4448	C	"BOTH INTERNATIONAL & INLAND Vessel ""A"" is underway and pushing ahead when vessel ""B"" is sighted off the starboard  bow as shown.  Which statement is TRUE?"	"Vessel ""A"" is the stand-on vessel because it is to the port side of vessel ""B""."	"Vessel ""A"" is the stand-on vessel because it is pushing ahead."	"Vessel ""B"" is the stand-on vessel because it is to starboard of vessel ""A""."	Neither vessel is the stand-on vessel.	DIAGRAM_5
1	4449	C	"BOTH INTERNATIONAL & INLAND In a crossing situation, which  vessel may sound the danger signal?"	Give-way vessel	Stand-on vessel	Either vessel	Neither vessel	
1	4451	B	"BOTH INTERNATIONAL & INLAND Every vessel should at all times proceed at a ""safe speed"".  ""Safe speed"" is defined as that speed where __________."	you can stop within your visibility range	you can take proper and effective action to avoid collision	you are traveling slower than surrounding vessels	no wake comes from your vessel	
1	4452	A	BOTH INTERNATIONAL & INLAND You are underway in fog and you hear three distinct bell strokes followed by five seconds of rapid bell ringing followed by three distinct bell strokes. This signal indicates a vessel __________.	aground	engaged in underwater construction	at anchor	in distress	
1	4453	D	"BOTH INTERNATIONAL & INLAND Vessels ""A"" and ""B"" are crossing as shown.  Which statement is TRUE?"	The vessels should pass starboard to starboard.	"Vessel ""B"" should pass astern of vessel ""A""."	"Vessel ""B"" should alter course to the right."	"Vessel ""A"" must keep clear of vessel ""B""."	DIAGRAM_30
1	4454	A	"BOTH INTERNATIONAL & INLAND In a crossing situation, a stand-on vessel which is forced to take action in order to avoid collision with a vessel on her own port side shall, if possible, avoid __________."	turning to port	turning to starboard	decreasing speed	increasing speed	
1	4455	D	"BOTH INTERNATIONAL & INLAND Which vessel is ""underway"" within the meaning of the Rules?"	A vessel at anchor with the engine turning	A vessel tied to an offshore mooring buoy	A vessel aground with the engine turning	A vessel drifting with the engine stopped	
1	4456	B	BOTH INTERNATIONAL & INLAND What is the required fog signal for a manned vessel being towed at night?	One prolonged followed by one short blast	One prolonged followed by three short blasts	One prolonged followed by two short blasts	Two prolonged blasts	
1	4457	A	"BOTH INTERNATIONAL & INLAND If you anchor your 25-meter vessel in a harbor, what light(s) must you show?"	One all-round white light	Two all-round white lights	One all-round red light	All the deck house lights	
1	4458	A	BOTH INTERNATIONAL & INLAND You see the lights shown as illustrated on your port bow.  You should __________.	hold course and speed	alter course to port	stop engines	sound the danger signal	DIAGRAM_50
1	4459	D	BOTH INTERNATIONAL & INLAND Three short blasts of the whistle means __________.	"""danger"""	"""I am in distress"""	the vessel is not under command (broken down)	"""I am operating astern propulsion"""	
1	4460	A	"BOTH INTERNATIONAL & INLAND Of the vessels listed, which must keep out of the way of all the others?"	A sailing vessel	A vessel restricted in her ability to maneuver	A vessel not under command	A vessel engaged in fishing	
1	4461	B	"BOTH INTERNATIONAL & INLAND During the day, a vessel with a tow over 200 meters in length will show __________."	a black ball	a diamond shape	"two cones, apexes together"	"one cone, apex upward"	
1	4462	D	BOTH INTERNATIONAL & INLAND A fog signal of one prolonged blast followed by four short blasts would mean the presence of a __________.	vessel being towed	fishing vessel trawling	vessel at anchor warning of her location	power-driven pilot vessel on station underway	
1	4463	C	"BOTH INTERNATIONAL & INLAND You are underway on vessel ""B""  approaching vessel ""A"", as shown. You are unable to see any sidelights on vessel ""A"".  This is a(n) __________."	meeting situation	crossing situation	overtaking situation	special circumstances situation	DIAGRAM_38
1	4464	A	"BOTH INTERNATIONAL & INLAND A vessel not under command, underway but not making way, would show __________."	two all-round red lights in a vertical line	sidelights	a stern light	All of the above	
1	4465	C	BOTH INTERNATIONAL & INLAND Traffic separation schemes __________.	provide routing and scheduling procedures to reduce shipping delays	"provide traffic patterns in congested areas, so that vessels can operate without having a separate lookout"	provide inbound and outbound lanes to promote the safe flow of vessel traffic	prohibit vessels carrying hazardous cargoes from entering waters that are environmentally sensitive	
1	4466	C	BOTH INTERNATIONAL & INLAND Which lights shall a 200-meter  vessel exhibit when at anchor?	"In the forepart of the vessel, a 225-degree white light"	"In the after part of the vessel, a 112.5-degree white light"	Working lights to illuminate the decks	"In the forepart of the vessel, a 112.5-degree white light"	
1	4467	D	"BOTH INTERNATIONAL & INLAND  Under the Rules, the term ""vessel"" includes __________."	non-self-propelled raft	seaplanes	hovercrafts	All of the above	
1	4468	A	"BOTH INTERNATIONAL & INLAND You see a vessel displaying three lights in a vertical line.  The highest and lowest lights are red and the middle light is white.  She is also  showing a white light at the stern, which is lower than the forward light.  It could be a __________."	survey vessel	vessel not under command	vessel aground	pilot vessel with port side to you	
1	4469	B	BOTH INTERNATIONAL & INLAND A pilot vessel may continue to  sound an identity signal in fog if she is __________.	aground	at anchor	not under command	no longer on pilotage duty	
1	4470	C	BOTH INTERNATIONAL & INLAND You are in charge of a stand-on vessel in a crossing situation.  The other vessel is 1.5 miles to port.  You believe that risk of collision exists.  You should __________.	take avoiding action immediately upon determining that risk of collision exists	"immediately sound the danger signal, and change course"	"take avoiding action only after giving the give-way vessel  time to take action, and determining that her action is not appropriate"	"hold course and speed until the point of extremis, and then sound the danger signal, taking whatever action will best avoid collision"	
1	4471	D	"BOTH INTERNATIONAL & INLAND A vessel towing astern  in an operation which severely restricts the towing vessel  and her tow in their ability to deviate from their course shall, when making way, show __________."	the masthead lights for a towing vessel	the lights for a vessel restricted in its ability to maneuver	"sidelights, stern light and towing light"	All of the above	
1	4472	D	BOTH INTERNATIONAL & INLAND Which statement is TRUE concerning seaplanes on the water?	A seaplane must exhibit appropriate lights but need not exhibit shapes.	A seaplane should show the lights for a vessel constrained  by her draft.	"In situations where a risk of collision exists, a seaplane  should always give way."	"A seaplane on the water shall, in general, keep well clear  of all vessels."	
1	4473	D	BOTH INTERNATIONAL & INLAND A head-on situation at night is one in which you see dead ahead a vessel showing __________.	one sidelight	one sidelight and a masthead light	one sidelight and two masthead lights	both sidelights of a vessel and her masthead light(s)	
1	4474	C	"BOTH INTERNATIONAL & INLAND In a crossing situation, the stand-on vessel should normally __________."	take action to cross ahead of the other vessel	take action to pass astern of the other vessel	maintain course and speed	change course and increase speed	
1	4475	D	BOTH INTERNATIONAL & INLAND A self-propelled dredge not engaged in dredging but proceeding to a dredging location at night would __________.	not be required to show any lights	be required to show the lights characteristic of a dredge	be required to show the lights of a stationary dredge	be required to show the lights of a power-driven vessel underway	
1	4476	D	BOTH INTERNATIONAL & INLAND At night you sight a vessel displaying one green light.  This light could indicate a __________.	vessel drifting	vessel at anchor	small motorboat underway	sailboat underway	
